Characteristic,Total,Total Under 65 years,15 to 24 years,Total,25 to 29 years,30 to 34 years,Total,35 to 39 years,40 to 44 years,Total,45 to 49 years,50 to 54 years,Total,55 to 59 years,60 to 64 years,Total 65 years and over,Total,65 to 69 years,70 to 74 years,75 years and over
....Total,3757,3329,814,1067,705,361,421,236,185,438,207,230,588,300,288,429,276,161,115,153
"Under $5,000",88,71,36,14,7,7,11,4,8,7,1,7,4,0,4,17,12,6,5,5
"$5,000 to $9,999",85,63,11,19,9,10,5,5,0,9,5,4,20,9,11,21,16,11,5,5
"$10,000 to $14,999",83,64,13,8,7,0,9,8,0,10,10,0,25,20,5,19,13,5,8,5
"$15,000 to $19,999",95,86,31,1,1,0,12,3,8,16,8,8,26,9,19,9,2,0,1,7
"$20,000 to $24,999",155,119,50,9,4,4,10,4,7,14,7,7,36,14,23,36,21,12,9,16
"$25,000 to $29,999",176,148,63,20,17,3,19,14,5,25,8,18,21,9,11,28,21,12,9,7
"$30,000 to $34,999",165,138,49,35,23,12,18,7,11,8,5,3,28,14,15,26,10,1,8,16
"$35,000 to $39,999",140,121,38,23,14,9,10,0,10,29,17,12,20,0,20,19,5,3,1,14
"$40,000 to $44,999",180,158,56,54,40,15,17,8,9,12,3,9,18,14,3,22,11,11,0,11
"$45,000 to $49,999",164,140,55,20,14,7,8,3,6,28,7,20,28,20,8,24,14,9,6,10
"$50,000 to $54,999",180,171,62,59,45,14,13,5,6,22,17,4,17,4,12,9,9,4,5,0
"$55,000 to $59,999",173,158,48,41,37,4,31,17,14,22,5,17,16,12,4,15,8,3,5,7
"$60,000 to $64,999",150,142,41,39,32,6,17,2,14,11,6,5,34,24,10,8,4,1,4,4
"$65,000 to $69,999",135,126,32,51,37,13,10,6,4,18,12,6,16,8,8,9,5,4,1,3
"$70,000 to $74,999",142,128,35,53,31,21,10,3,8,7,5,2,24,8,15,14,10,0,9,4
"$75,000 to $79,999",142,133,14,71,53,19,8,5,2,21,7,14,19,9,9,8,4,4,0,5
"$80,000 to $84,999",105,86,3,39,26,13,8,6,2,19,5,13,17,10,7,19,10,8,1,9
"$85,000 to $89,999",119,117,25,47,36,10,13,7,5,8,8,0,25,15,10,2,2,1,1,0
"$90,000 to $94,999",93,86,9,49,34,16,11,7,4,7,7,0,11,5,6,7,2,3,0,4
"$95,000 to $99,999",83,76,19,35,14,22,10,6,4,3,1,3,7,2,6,8,5,3,2,3
"$100,000 to $104,999",102,82,11,23,16,8,16,11,5,12,8,4,20,19,1,19,19,17,2,0
"$105,000 to $109,999",70,70,5,27,21,5,9,1,8,12,8,4,16,5,11,2,1,1,0,0
"$110,000 to $114,999",61,55,16,12,6,5,8,5,4,8,6,2,11,5,6,6,5,3,2,0
"$115,000 to $119,999",43,34,5,12,2,10,9,4,5,3,1,2,6,5,1,9,5,5,0,4
"$120,000 to $124,999",62,63,4,27,21,6,5,4,1,13,7,5,13,6,8,0,0,0,0,0
"$125,000 to $129,999",62,56,10,23,6,16,4,2,2,7,4,3,12,5,7,6,2,1,0,5
"$130,000 to $134,999",43,39,4,24,9,14,7,3,3,1,0,1,5,0,4,3,4,0,3,0
"$135,000 to $139,999",35,31,3,16,3,13,9,5,3,0,0,0,3,0,3,4,4,0,4,0
"$140,000 to $144,999",41,41,5,18,18,0,5,5,0,10,0,9,3,3,0,0,0,0,0,0
"$145,000 to $149,999",40,37,4,5,1,4,4,3,0,7,4,3,18,11,8,3,2,1,1,0
"$150,000 to $154,999",43,34,2,14,11,3,11,11,1,3,0,3,4,3,0,9,5,6,0,4
"$155,000 to $159,999",37,38,0,24,2,22,2,1,1,9,4,5,4,0,4,0,0,0,0,0
"$160,000 to $164,999",24,23,6,13,11,2,3,3,0,1,0,0,0,0,1,1,1,1,0,0
"$165,000 to $169,999",29,24,0,2,2,0,16,7,9,4,4,0,2,0,2,6,5,1,5,0
"$170,000 to $174,999",21,22,4,13,8,6,1,2,0,2,0,2,0,0,0,0,0,0,0,0
"$175,000 to $179,999",23,22,0,11,9,2,3,4,1,7,3,3,0,0,0,2,2,2,0,0
"$180,000 to $184,999",30,26,3,12,11,1,4,1,3,1,0,1,7,7,0,4,4,4,0,0
"$185,000 to $189,999",37,33,6,6,6,0,8,4,4,4,0,4,8,7,1,4,4,0,4,0
"$190,000 to $194,999",20,16,3,6,2,4,0,0,0,4,2,2,3,0,3,4,3,3,0,0
"$195,000 to $199,999",8,8,0,6,4,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0
"$200,000 and over",270,243,29,90,59,33,45,35,10,36,12,23,42,19,22,27,25,12,13,2
